date,signal_strategy,equal_weight
2022-05-20,1319766.1547099669,1011403.3399913679
2022-05-23,1338291.1551478351,1025803.8453958508
2022-05-24,1311541.273144414,1001236.2543761843
2022-05-25,1323397.8790107123,1015893.080313655
2022-05-26,1377719.950237094,1045151.2153517852
2022-05-27,1431449.1332290706,1075244.9744096561
2022-05-31,1431921.1721205933,1074488.0334157331
2022-06-01,1418779.288484519,1067156.8439757568
2022-06-02,1468111.403774521,1097163.2090768593
2022-06-03,1430658.4211247917,1067639.8968342715
2022-06-06,1438833.0764398456,1072362.8078129932
2022-06-07,1443714.6711874795,1077048.4636721362
2022-06-08,1429980.5334050497,1066046.6279838707
2022-06-09,1389437.876874721,1040169.686768338
2022-06-10,1347626.539761645,1006595.2424059456
2022-06-13,1293780.4442848936,961031.4288227824
2022-06-14,1295019.6346163168,962992.731798245
2022-06-15,1326291.1433650742,988709.8609599783
2022-06-16,1281833.2619959493,952521.3256038273
2022-06-17,1294250.2932672251,959401.6660011593
2022-06-21,1336963.3498472886,980196.7282997674
2022-06-22,1333341.5055980938,977869.5347365488
2022-06-23,1342404.6353863743,985071.7855209229
2022-06-24,1385291.683559666,1018296.4133637658
2022-06-27,1375095.321435737,1010434.3246016703
2022-06-28,1336737.2288864637,979974.5305348448
2022-06-29,1339901.6944766464,977978.8654893546
2022-06-30,1325064.1133825085,966621.5849976031
2022-07-01,1325474.9759290095,966221.6565042633
2022-07-05,1355723.3440426134,982115.9660508134
2022-07-06,1362500.189267895,986340.5819636491
2022-07-07,1399462.280833742,1009311.4892992123
2022-07-08,1403125.2296445107,1009944.6157230078
2022-07-11,1354528.9319226358,986824.2729668858
2022-07-12,1347393.889897515,980337.8847052883
2022-07-13,1349062.9135276484,981354.8680507375
2022-07-14,1352564.7869248802,982145.7040193547
2022-07-15,1373777.8465604896,999238.864396614
2022-07-18,1361715.0814625132,997034.678843447
2022-07-19,1411288.5823176207,1026610.8143409665
2022-07-20,1443375.6181467047,1042336.4135076056
2022-07-21,1478463.75539682,1058597.0386470242
2022-07-22,1441893.8145945158,1037417.6770332115
2022-07-25,1423584.1963367653,1031753.3841872078
2022-07-26,1395653.2613135038,1010854.0751610411
2022-07-27,1452657.356152611,1052928.6734509268
2022-07-28,1467565.807954147,1059285.6556222052
2022-07-29,1496841.2177942034,1075051.034829121
2022-08-01,1494933.0328953005,1078073.5705923594
2022-08-02,1496432.5557912055,1074209.3827408582
2022-08-03,1526380.321887094,1095084.753513782
2022-08-04,1546418.633252686,1103792.6523443575
2022-08-05,1520669.5075333277,1090543.235923385
2022-08-08,1501387.4015583403,1084936.4921867258
2022-08-09,1489105.954625139,1071579.052751862
2022-08-10,1528542.3755937354,1101355.9605501594
2022-08-11,1521136.2179068008,1094419.7424736063
2022-08-12,1546033.3097766205,1115503.634396842
2022-08-15,1545147.2064229604,1121337.0546864965
2022-08-16,1539842.4383423312,1118434.6986706618
2022-08-17,1522304.8353938074,1105974.6691182007
2022-08-18,1530241.592501306,1110336.7559118578
2022-08-19,1493628.955810671,1086424.9081684463
2022-08-22,1447266.3772271995,1059821.4439542748
2022-08-23,1447646.179087996,1060440.068925881
2022-08-24,1449436.8506659598,1062042.39863471
2022-08-25,1471669.0098632355,1082269.590658596
2022-08-26,1424960.4930635917,1041650.0420407461
2022-08-29,1410875.0661246518,1030118.5485719468
2022-08-30,1397104.6554562533,1018415.4832216095
2022-08-31,1390182.2234446106,1011823.3245086503
2022-09-01,1385740.0281701265,1006218.41516852
2022-09-02,1370518.6101202404,993145.5998436838
2022-09-06,1353398.4684680947,985039.5613437322
2022-09-07,1379510.621307962,1000339.3870169441
2022-09-08,1393885.3287867298,1006435.0000835278
2022-09-09,1429801.139225366,1027889.2742890591
2022-09-12,1442807.9217064697,1036539.1227952709
2022-09-13,1354105.2147896863,981596.70889084
2022-09-14,1362537.080207624,986448.2710915429
2022-09-15,1347824.9122370554,974889.0710828173
